일자,time,교통량
2019-11-20,257,11
2019-11-21,289,7
2019-11-22,274,20
2019-11-23,283,24
2019-11-24,264,19
2019-11-25,262,15
2019-11-26,258,12
2019-11-27,259,18
2019-11-28,255,15
2019-11-29,280,24
2019-11-30,265,18
2019-12-01,253,15
2019-12-02,271,10
2019-12-03,287,10
2019-12-04,262,8
2019-12-05,247,15
2019-12-06,272,18
2019-12-07,280,27
2019-12-08,257,17
2019-12-09,289,15
2019-12-10,261,15
2019-12-11,266,14
2019-12-12,256,10
2019-12-13,258,13
2019-12-14,261,26
2019-12-15,256,18
2019-12-16,248,22
2019-12-17,262,13
2019-12-18,259,15
2019-12-19,301,19
2019-12-20,268,22
2019-12-21,280,33
2019-12-22,250,23
2019-12-23,259,16
2019-12-24,307,23
2019-12-25,240,17
2019-12-26,273,28
2019-12-27,273,18
2019-12-28,281,24
2019-12-29,269,29
2019-12-30,263,23
2019-12-31,261,17
2020-01-01,291,29
2020-01-02,262,13
2020-01-03,277,21
2020-01-04,243,17
2020-01-05,286,18
2020-01-06,259,20
2020-01-07,270,12
2020-01-08,278,15
2020-01-09,271,18
2020-01-10,251,11
2020-01-11,267,25
2020-01-12,251,16
2020-01-13,262,17
2020-01-14,247,10
2020-01-15,253,9
2020-01-16,248,9
2020-01-17,260,23
2020-01-18,266,23
2020-01-19,245,11
2020-01-20,257,7
2020-01-21,265,14
2020-01-22,274,17
2020-01-23,309,44
2020-01-24,404,64
2020-01-25,307,27
2020-01-26,269,24
2020-01-27,264,22
2020-01-28,274,16
2020-01-29,250,17
2020-01-30,249,15
2020-01-31,239,14
2020-02-01,255,9
2020-02-02,245,24
2020-02-03,255,16
2020-02-04,271,13
2020-02-05,249,14
2020-02-06,234,10
2020-02-07,271,17
2020-02-08,256,19
2020-02-09,235,14
2020-02-10,245,12
2020-02-11,241,7
2020-02-12,301,9
2020-02-13,278,13
2020-02-14,258,22
2020-02-15,258,33
2020-02-16,273,15
2020-02-17,264,18
2020-02-18,261,12
2020-02-19,250,11
2020-02-20,255,12
2020-02-21,257,18
2020-02-22,244,17
2020-02-23,252,18
2020-02-24,230,11
2020-02-25,264,13
2020-02-26,269,10
2020-02-27,248,15
2020-02-28,240,9
2020-02-29,243,22
2020-03-01,240,17
2020-03-02,257,12
2020-03-03,267,13
2020-03-04,268,12
2020-03-05,223,10
2020-03-06,247,18
2020-03-07,240,21
2020-03-08,236,12
2020-03-09,231,8
2020-03-10,268,8
2020-03-11,263,23
2020-03-12,269,19
2020-03-13,239,13
2020-03-14,247,10
2020-03-15,229,17
2020-03-16,265,17
2020-03-17,262,10
2020-03-18,243,11
2020-03-19,226,12
2020-03-20,327,16
2020-03-21,246,23
2020-03-22,221,12
2020-03-23,249,17
2020-03-24,246,11
2020-03-25,272,20
2020-03-26,244,11
2020-03-27,235,7
2020-03-28,240,22
2020-03-29,226,15
2020-03-30,244,11
2020-03-31,247,14
2020-04-01,260,10
2020-04-02,253,21
2020-04-03,243,13
2020-04-04,255,21
2020-04-05,251,13
2020-04-06,256,12
2020-04-07,256,12
2020-04-08,286,9
2020-04-09,242,8
2020-04-10,260,17
2020-04-11,251,27
2020-04-12,228,12
2020-04-13,243,16
2020-04-14,262,16
2020-04-15,241,8
2020-04-16,285,12
2020-04-17,262,14
2020-04-18,246,17
2020-04-19,261,16
2020-04-20,242,9
2020-04-21,257,7
2020-04-22,229,4
2020-04-23,257,15
2020-04-24,253,14
2020-04-25,265,24
2020-04-26,251,16
2020-04-27,292,15
2020-04-28,247,17
2020-04-29,255,17
2020-04-30,324,54
2020-05-01,274,44
2020-05-02,270,23
2020-05-03,250,30
2020-05-04,258,20
2020-05-05,261,17
2020-05-06,249,18
2020-05-07,249,19
2020-05-08,247,9
2020-05-09,283,17
2020-05-10,253,22
2020-05-11,261,18
2020-05-12,254,11
2020-05-13,347,14
2020-05-14,242,11
2020-05-15,271,15
2020-05-16,265,12
2020-05-17,225,18
2020-05-18,257,15
2020-05-19,251,4
2020-05-20,241,10
2020-05-21,232,8
2020-05-22,244,7
2020-05-23,269,24
2020-05-24,248,19
2020-05-25,268,13
2020-05-26,280,13
2020-05-27,307,15
2020-05-28,244,14
2020-05-29,249,17
2020-05-30,278,12
2020-05-31,242,11
2020-06-01,269,8
2020-06-02,265,12
2020-06-03,257,13
2020-06-04,259,9
2020-06-05,275,10
2020-06-06,277,23
2020-06-07,254,12
2020-06-08,250,12
2020-06-09,253,13
2020-06-10,246,14
2020-06-11,288,8
2020-06-12,267,13
2020-06-13,272,18
2020-06-14,250,12
2020-06-15,279,14
2020-06-16,259,9
2020-06-17,264,10
2020-06-18,274,10
2020-06-19,281,13
2020-06-20,284,15
2020-06-21,252,14
2020-06-22,232,11
2020-06-23,279,12
2020-06-24,260,9
2020-06-25,281,10
2020-06-26,247,19
2020-06-27,250,21
2020-06-28,238,14
2020-06-29,246,14
2020-06-30,257,9
2020-07-01,274,10
2020-07-02,251,15
2020-07-03,263,22
2020-07-04,274,12
2020-07-05,245,16
2020-07-06,260,17
2020-07-07,274,19
2020-07-08,262,18
2020-07-09,244,15
2020-07-10,275,15
2020-07-11,269,10
2020-07-12,245,15
2020-07-13,294,14
2020-07-14,265,17
2020-07-15,281,14
2020-07-16,240,12
2020-07-17,258,14
2020-07-18,286,20
2020-07-19,264,17
2020-07-20,256,23
2020-07-21,260,11
2020-07-22,294,16
2020-07-23,334,14
2020-07-24,262,21
2020-07-25,269,17
2020-07-26,268,18
2020-07-27,257,13
2020-07-28,261,19
2020-07-29,273,15
2020-07-30,279,14
2020-07-31,261,27
2020-08-01,314,24
2020-08-02,281,25
2020-08-03,290,26
2020-08-04,282,18
2020-08-05,262,14
2020-08-06,255,19
2020-08-07,277,23
2020-08-08,293,28
2020-08-09,278,22
2020-08-10,262,16
2020-08-11,295,18
2020-08-12,250,17
2020-08-13,263,20
2020-08-14,275,22
2020-08-15,310,47
2020-08-16,264,29
2020-08-17,273,25
2020-08-18,264,20
2020-08-19,250,22
2020-08-20,268,19
2020-08-21,291,17
2020-08-22,256,16
2020-08-23,263,29
2020-08-24,250,10
2020-08-25,266,11
2020-08-26,268,13
2020-08-27,255,9
2020-08-28,251,14
2020-08-29,273,9
2020-08-30,256,20
2020-08-31,247,10
2020-09-01,253,8
2020-09-02,267,9
2020-09-03,250,9
2020-09-04,264,13
2020-09-05,262,9
2020-09-06,235,6
2020-09-07,252,6
2020-09-08,283,14
2020-09-09,263,11
2020-09-10,271,13
2020-09-11,255,15
2020-09-12,282,20
2020-09-13,246,11
2020-09-14,250,6
2020-09-15,252,11
2020-09-16,270,13
2020-09-17,255,10
2020-09-18,269,15
2020-09-19,274,11
2020-09-20,254,18
2020-09-21,224,4
2020-09-22,252,8
2020-09-23,316,11
2020-09-24,250,13
2020-09-25,275,20
2020-09-26,273,18
2020-09-27,258,18
2020-09-28,246,11
2020-09-29,266,21
2020-09-30,301,76
2020-10-02,249,24
2020-10-03,248,23
2020-10-04,268,14
2020-10-05,258,14
2020-10-06,249,11
2020-10-07,271,10
2020-10-08,256,15
2020-10-09,303,21
2020-10-10,259,15
2020-10-11,251,14
2020-10-12,262,6
2020-10-13,258,11
2020-10-14,263,11
2020-10-15,247,10
2020-10-16,297,15
2020-10-17,272,7
2020-10-18,270,16
2020-10-19,283,14
2020-10-20,247,5
2020-10-21,264,9
2020-10-22,262,19
2020-10-23,305,10
2020-10-24,283,24
2020-10-25,254,12
2020-10-26,260,8
2020-10-27,278,12
2020-10-28,258,7
2020-10-29,272,8
2020-10-30,280,17
2020-10-31,270,15
2020-11-01,261,14
2020-11-02,277,18
2020-11-03,320,14
2020-11-04,288,24
2020-11-05,250,7
2020-11-06,329,16
2020-11-07,300,16
2020-11-08,281,17
2020-11-09,253,13
2020-11-10,287,15
2020-11-11,255,12
2020-11-12,251,14
2020-11-13,275,14
2020-11-14,297,13
2020-11-15,259,14
2020-11-16,282,9
2020-11-17,259,11
2020-11-18,247,13
2020-11-19,280,9
2020-11-20,249,11
2020-11-21,284,14
2020-11-22,274,14
2020-11-23,258,17
2020-11-24,266,10
2020-11-25,246,15
2020-11-26,256,17
2020-11-27,263,12
2020-11-28,264,22
2020-11-29,247,15
2020-11-30,255,12
2020-12-01,245,10
2020-12-02,246,13
2020-12-03,260,11
2020-12-04,254,18
2020-12-05,254,19
2020-12-06,235,18
2020-12-07,246,13
2020-12-08,270,11
2020-12-09,261,11
2020-12-10,242,15
2020-12-11,278,16
2020-12-12,262,13
2020-12-13,267,12
2020-12-14,258,8
2020-12-15,249,11
2020-12-16,259,11
2020-12-17,255,15
2020-12-18,258,23
2020-12-19,260,14
2020-12-20,258,14
2020-12-21,264,34
2020-12-22,257,21
2020-12-23,260,11
2020-12-24,250,21
2020-12-25,254,22
2020-12-26,247,11
2020-12-27,230,17
2020-12-28,263,6
2020-12-29,267,7
2020-12-30,252,16
2020-12-31,254,17
2021-01-01,257,25
2021-01-02,270,14
2021-01-03,250,14
2021-01-04,245,8
2021-01-05,237,9
2021-01-06,258,6
2021-01-07,302,8
2021-01-08,279,9
2021-01-09,247,13
2021-01-10,252,14
2021-01-11,267,8
2021-01-12,285,6
2021-01-13,273,7
2021-01-14,266,10
2021-01-15,265,17
2021-01-16,262,21
2021-01-17,237,6
2021-01-18,263,8
2021-01-19,259,10
2021-01-20,249,3
2021-01-21,268,14
2021-01-22,272,15
2021-01-23,284,14
2021-01-24,242,11
2021-01-25,251,10
2021-01-26,300,6
2021-01-27,241,9
2021-01-28,252,13
2021-01-29,262,14
2021-01-30,265,17
2021-01-31,240,10
2021-02-01,239,8
2021-02-02,256,11
2021-02-03,266,14
2021-02-04,264,12
2021-02-05,255,10
2021-02-06,251,12
2021-02-07,251,11
2021-02-08,271,13
2021-02-09,266,22
2021-02-10,286,29
2021-02-11,291,56
2021-02-12,265,19
2021-02-13,251,13
2021-02-14,249,14
2021-02-15,263,16
2021-02-16,261,12
2021-02-17,261,16
2021-02-18,259,13
2021-02-19,264,14
2021-02-20,268,17
2021-02-21,244,11
2021-02-22,254,7
2021-02-23,251,8
2021-02-24,269,9
2021-02-25,248,7
2021-02-26,286,18
2021-02-27,287,24
2021-02-28,279,24
2021-03-01,280,19
2021-03-02,252,10
2021-03-03,242,11
2021-03-04,262,14
2021-03-05,266,17
2021-03-06,267,14
2021-03-07,239,11
2021-03-08,267,8
2021-03-09,262,10
2021-03-10,255,10
2021-03-11,261,12
2021-03-12,269,12
2021-03-13,257,12
2021-03-14,279,12
2021-03-15,246,11
2021-03-16,259,11
2021-03-17,256,13
2021-03-18,245,6
2021-03-19,256,19
2021-03-20,265,20
2021-03-21,245,16
2021-03-22,254,9
2021-03-23,250,8
2021-03-24,252,12
2021-03-25,252,12
2021-03-26,274,13
2021-03-27,247,9
2021-03-28,261,16
2021-03-29,253,11
2021-03-30,274,12
2021-03-31,281,11
2021-04-01,298,10
2021-04-02,299,14
2021-04-03,265,18
2021-04-04,257,11
2021-04-05,261,10
2021-04-06,260,11
2021-04-07,249,14
2021-04-08,285,11
2021-04-09,278,12
2021-04-10,313,23
2021-04-11,272,7
2021-04-12,267,7
2021-04-13,250,12
2021-04-14,226,6
2021-04-15,248,12
2021-04-16,279,12
2021-04-17,266,19
2021-04-18,241,16
2021-04-19,263,12
2021-04-20,261,10
2021-04-21,267,7
2021-04-22,268,10
2021-04-23,264,17
2021-04-24,297,11
2021-04-25,257,9
2021-04-26,239,5
2021-04-27,272,6
2021-04-28,263,9
2021-04-29,271,16
2021-04-30,275,25
2021-05-01,305,21
2021-05-02,254,17
2021-05-03,271,16
2021-05-04,284,9
2021-05-05,244,8
2021-05-06,265,17
2021-05-07,263,19
2021-05-08,286,11
2021-05-09,255,12
2021-05-10,269,11
2021-05-11,275,11
2021-05-12,253,13
2021-05-13,252,10
2021-05-14,259,12
2021-05-15,287,11
2021-05-16,272,16
2021-05-17,285,5
2021-05-18,270,10
2021-05-19,260,17
2021-05-20,273,5
2021-05-21,290,13
2021-05-22,321,11
2021-05-23,236,7
2021-05-24,257,12
2021-05-25,268,8
2021-05-26,245,10
2021-05-27,255,7
2021-05-28,326,15
2021-05-29,250,15
2021-05-30,285,17
2021-05-31,248,9
2021-06-01,270,18
2021-06-02,263,11
2021-06-03,265,3
2021-06-04,252,13
2021-06-05,272,19
2021-06-06,260,11
2021-06-07,260,15
2021-06-08,247,6
2021-06-09,239,10
2021-06-10,241,11
2021-06-11,267,12
2021-06-12,271,12
2021-06-13,250,13
2021-06-14,267,7
2021-06-15,270,8
2021-06-16,251,7
2021-06-17,289,11
2021-06-18,283,9
2021-06-19,276,12
2021-06-20,281,21
2021-06-21,310,8
2021-06-22,280,5
2021-06-23,257,14
2021-06-24,272,13
2021-06-25,281,22
2021-06-26,280,21
2021-06-27,268,14
2021-06-28,256,4
2021-06-29,263,7
2021-06-30,253,12
2021-07-01,263,17
2021-07-02,261,10
2021-07-03,321,17
2021-07-04,268,8
2021-07-05,287,8
2021-07-06,276,12
2021-07-07,285,15
2021-07-08,255,3
2021-07-09,276,16
2021-07-10,271,15
2021-07-11,248,11
2021-07-12,280,8
2021-07-13,284,9
2021-07-14,267,17
2021-07-15,268,14
2021-07-16,279,17
2021-07-17,262,23
2021-07-18,241,15
2021-07-19,271,5
2021-07-20,281,7
2021-07-21,246,8
2021-07-22,244,10
2021-07-23,267,19
2021-07-24,266,20
2021-07-25,251,18
2021-07-26,259,14
2021-07-27,261,9
2021-07-28,247,18
2021-07-29,282,16
2021-07-30,269,18
2021-07-31,333,26
2021-08-01,275,25
2021-08-02,327,17
2021-08-03,277,11
2021-08-04,271,13
2021-08-05,279,18
2021-08-06,271,21
2021-08-07,259,11
2021-08-08,255,18
2021-08-09,237,10
2021-08-10,256,13
2021-08-11,253,14
2021-08-12,266,11
2021-08-13,279,10
2021-08-14,295,17
2021-08-15,280,19
2021-08-16,266,15
2021-08-17,289,18
2021-08-18,281,11
2021-08-19,253,6
2021-08-20,252,18
2021-08-21,286,12
2021-08-22,262,11
2021-08-23,267,10
2021-08-24,273,7
2021-08-25,253,9
2021-08-26,278,9
2021-08-27,247,12
2021-08-28,269,15
2021-08-29,261,8
2021-08-30,250,9
2021-08-31,321,13
